data engineer,"Washington, DC",843,2023-04-30 10:57:37.212432
data engineer,"Washington, DC",844,2023-04-30 11:23:25.785638
data engineer,"Washington, DC",843,2023-04-30 11:25:39.836682
data engineer,"Washington, DC",796,2023-05-04 16:20:52.073064
data engineer,"Washington, DC",796,2023-05-04 16:23:43.222733
data engineer,"Washington, DC",802,2023-05-04 17:55:35.522836
data engineer,"Washington, DC",768,2023-05-04 20:43:17.807783
data engineer,"Atlanta, Georgia",313,2023-05-04 21:17:36.879062
data engineer,"Austin, Texas",282,2023-05-04 21:26:03.712907
data engineer,"Boston, Massachusetts",322,2023-05-04 21:33:23.291329
data engineer,"Charlotte, North Carolina",287,2023-05-04 21:41:56.953858
data engineer,"Chicago, Illinois",347,2023-05-04 21:50:12.297116
data engineer,"Columbus, Ohio",225,2023-05-04 22:15:58.584554
data engineer,"Dallas, Texas",341,2023-05-04 22:21:53.864891
data engineer,"Denver, Colorado",262,2023-05-04 22:31:46.635919
data engineer,"Houston, Texas",261,2023-05-04 22:38:42.463019
data engineer,"Indianapolis, Indiana",207,2023-05-04 22:45:12.767454
data engineer,"Kansas City, Missouri",207,2023-05-04 22:51:05.481635
data engineer,"Los Angeles, California",274,2023-05-04 22:56:57.242037
data engineer,"Miami, Florida",235,2023-05-04 23:04:52.853721
data engineer,"Minneapolis, Minnesota",243,2023-05-04 23:11:40.360779
data engineer,"Nashville, Tennessee",219,2023-05-04 23:18:26.089579
data engineer,"New York City, New York",505,2023-05-05 06:13:34.983451
data engineer,"Orlando, Florida",199,2023-05-05 06:27:24.417939
data engineer,"Philadelphia, Pennsylvania",279,2023-05-05 06:33:08.775469
data engineer,"Phoenix, Arizona",235,2023-05-05 06:40:40.102555
data engineer,"Pittsburgh, Pennsylvania",221,2023-05-05 06:46:34.690291
data engineer,"Portland, Oregon",224,2023-05-05 07:33:33.444898
data engineer,"Raleigh, North Carolina",255,2023-05-05 07:40:10.146590
data engineer,"Salt Lake City, Utah",212,2023-05-05 07:46:48.337639
data engineer,"San Antonio, Texas",216,2023-05-05 07:53:17.041319
data engineer,"San Diego, California",243,2023-05-05 07:59:29.386746
data engineer,"San Francisco, California",285,2023-05-05 08:44:49.475870
data engineer,"San Jose, California",327,2023-05-05 08:51:40.712538
data engineer,"Seattle, Washington",265,2023-05-05 09:01:05.986858
data engineer,"San Francisco, California",285,2023-05-05 10:09:29.869133
data engineer,"San Jose, California",332,2023-05-05 10:18:13.927599
data engineer,"Seattle, Washington",279,2023-05-05 10:27:13.134492
data engineer,"Seattle, Washington",293,2023-05-05 13:33:57.741866
data engineer,"St. Louis, Missouri",246,2023-05-05 13:46:08.700383
data engineer,"Tampa, Florida",266,2023-05-05 13:52:55.681970
data engineer,"Charlotte, North Carolina",299,2023-05-05 14:02:35.747704
data engineer,"Chicago, Illinois",367,2023-05-05 14:10:29.596254
data engineer,"Houston, Texas",284,2023-05-05 14:20:35.098358
data engineer,"Indianapolis, Indiana",224,2023-05-05 14:29:35.915735
data engineer,"Kansas City, Missouri",226,2023-05-05 14:35:32.246518
data engineer,"Los Angeles, California",304,2023-05-05 15:00:40.176436
data engineer,"Miami, Florida",251,2023-05-05 15:09:43.545190
data engineer,"Minneapolis, Minnesota",256,2023-05-05 15:28:34.426178
data engineer,"Nashville, Tennessee",239,2023-05-05 15:35:39.840505
data engineer,"Orlando, Florida",243,2023-05-05 15:53:34.221244
data engineer,"Philadelphia, Pennsylvania",317,2023-05-05 16:00:12.632564
data engineer,"Pittsburgh, Pennsylvania",248,2023-05-05 16:08:11.870850
data engineer,"Portland, Oregon",244,2023-05-05 16:14:39.385296
data engineer,"Raleigh, North Carolina",274,2023-05-05 16:21:25.249578
data engineer,"Salt Lake City, Utah",233,2023-05-05 16:29:14.353182
data engineer,"San Antonio, Texas",235,2023-05-05 16:35:51.332366
data engineer,"San Diego, California",267,2023-05-05 16:42:00.050757
